"Participant","Illusion_Type","Trial","RT","Error","Illusion_Strength","Illusion_Difference"
"S22","Ponzo",9,1.131,0,16.6666666666667,0.28
"S22","Ponzo",11,0.861,1,8.33333333333334,0.04
"S22","Ponzo",14,0.84,0,16.6666666666667,0.28
"S22","Ponzo",17,2.031,0,25,0.28
"S22","Ponzo",21,0.978,1,25,0.04
"S22","Ponzo",25,1.352,1,8.33333333333334,0.04
"S22","Ponzo",27,1.908,0,16.6666666666667,0.16
"S22","Ponzo",30,1.439,1,16.6666666666667,0.04
"S22","Ponzo",33,1.337,0,25,0.4
"S22","Ponzo",34,1.136,0,25,0.28
"S22","Ponzo",36,0.694,0,16.6666666666667,0.4
"S22","Ponzo",39,0.816,0,8.33333333333334,0.4
"S22","Ponzo",42,0.818,0,8.33333333333334,0.28
"S22","Ponzo",43,2.857,0,25,0.16
"S22","Ponzo",44,2.291,1,16.6666666666667,0.04
"S22","Ponzo",46,3.176,0,25,0.16
"S22","Ponzo",47,1.312,0,8.33333333333334,0.16
"S22","Ponzo",49,0.826,1,25,0.04
"S22","Ponzo",52,0.882,0,16.6666666666667,0.4
"S22","Ponzo",54,0.952,0,8.33333333333334,0.16
"S22","Ponzo",55,1.373,0,25,0.4
"S22","Ebbinghaus",3,1.129,0,1.4,0.32
"S22","Ebbinghaus",7,0.527,0,0.7,0.8
"S22","Ebbinghaus",10,1.479,1,2.1,0.08
"S22","Ebbinghaus",11,0.62,0,2.1,0.8
"S22","Ebbinghaus",14,0.803,0,2.1,0.56
"S22","Ebbinghaus",21,0.793,1,0.7,0.08
"S22","Ebbinghaus",24,0.637,0,0.7,0.32
"S22","Ebbinghaus",26,0.701,0,2.1,0.8
"S22","Ebbinghaus",27,0.85,1,0.7,0.08
"S22","Ebbinghaus",28,0.842,1,1.4,0.08
"S22","Ebbinghaus",29,1.326,0,2.1,0.32
"S22","Ebbinghaus",30,1.086,0,1.4,0.56
"S22","Ebbinghaus",31,2.116,1,2.1,0.08
"S22","Ebbinghaus",38,0.9,0,0.7,0.56
"S22","Ebbinghaus",39,0.777,0,0.7,0.8
"S22","Ebbinghaus",43,0.639,0,0.7,0.56
"S22","Ebbinghaus",46,0.885,0,1.4,0.56
"S22","Ebbinghaus",47,0.699,0,1.4,0.8
"S22","Ebbinghaus",48,1.15,0,0.7,0.32
"S22","Ebbinghaus",51,0.847,1,1.4,0.08
"S22","Ebbinghaus",52,1.586,0,1.4,0.32
"S22","Ebbinghaus",54,3.863,0,2.1,0.32
"S22","Ebbinghaus",55,1.68,0,2.1,0.56
"S22","Ebbinghaus",56,1.817,0,1.4,0.8
"S22","Ponzo",2,0.581,0,16.6666666666667,0.16
"S22","Ponzo",7,0.733,0,8.33333333333334,0.4
"S22","Ponzo",9,0.531,0,8.33333333333334,0.16
"S22","Ponzo",13,1.49,0,16.6666666666667,0.28
"S22","Ponzo",17,1.821,0,25,0.28
"S22","Ponzo",18,1.026,1,25,0.04
"S22","Ponzo",19,0.784,0,8.33333333333334,0.28
"S22","Ponzo",20,1.193,0,8.33333333333334,0.16
"S22","Ponzo",24,2.796,0,25,0.16
"S22","Ponzo",28,0.647,0,8.33333333333334,0.4
"S22","Ponzo",29,1.589,1,25,0.04
"S22","Ponzo",30,0.706,0,16.6666666666667,0.4
"S22","Ponzo",31,2.469,1,8.33333333333334,0.04
"S22","Ponzo",34,0.823,0,8.33333333333334,0.28
"S22","Ponzo",35,0.818,0,25,0.4
"S22","Ponzo",37,0.999,0,16.6666666666667,0.4
"S22","Ponzo",38,1.521,1,8.33333333333334,0.04
"S22","Ponzo",39,1.437,1,16.6666666666667,0.04
"S22","Ponzo",40,1.067,0,25,0.4
"S22","Ponzo",42,1.368,0,25,0.28
"S22","Ponzo",49,1.026,1,25,0.16
"S22","Ponzo",50,1.216,0,16.6666666666667,0.28
"S22","Ponzo",51,1.726,0,16.6666666666667,0.16
"S22","Ponzo",56,0.75,1,16.6666666666667,0.04
"S22","Müller-Lyer",1,0.883,0,16.6666666666667,0.5
"S22","Müller-Lyer",3,0.718,1,33.3333333333333,0.2
"S22","Müller-Lyer",4,1.126,0,50,0.5
"S22","Müller-Lyer",5,4.024,0,33.3333333333333,0.35
"S22","Müller-Lyer",8,3.533,0,50,0.35
"S22","Müller-Lyer",9,1.394,0,16.6666666666667,0.35
"S22","Müller-Lyer",11,0.859,1,16.6666666666667,0.05
"S22","Müller-Lyer",12,0.904,1,50,0.05
"S22","Müller-Lyer",15,0.7,1,16.6666666666667,0.05
"S22","Müller-Lyer",17,2.142,0,16.6666666666667,0.2
"S22","Müller-Lyer",21,1.818,0,50,0.5
"S22","Müller-Lyer",23,3.138,1,50,0.2
"S22","Müller-Lyer",26,0.669,1,50,0.05
"S22","Müller-Lyer",29,0.572,0,16.6666666666667,0.5
"S22","Müller-Lyer",31,0.736,1,33.3333333333333,0.05
"S22","Müller-Lyer",37,1.597,0,33.3333333333333,0.5
"S22","Müller-Lyer",38,1.15,0,33.3333333333333,0.5
"S22","Müller-Lyer",42,1.99,1,16.6666666666667,0.2
"S22","Müller-Lyer",43,1.692,0,33.3333333333333,0.35
"S22","Müller-Lyer",47,2.109,0,16.6666666666667,0.35
"S22","Müller-Lyer",48,2.209,0,50,0.35
"S22","Müller-Lyer",51,2.331,1,33.3333333333333,0.2
"S22","Müller-Lyer",55,4.727,1,50,0.2
"S22","Müller-Lyer",56,2.059,1,33.3333333333333,0.05
"S22","Ebbinghaus",2,2.075,0,0.7,0.8
"S22","Ebbinghaus",3,1.689,1,0.7,0.08
"S22","Ebbinghaus",8,0.907,0,2.1,0.8
"S22","Ebbinghaus",9,1.115,1,1.4,0.08
"S22","Ebbinghaus",12,1.691,1,1.4,0.08
"S22","Ebbinghaus",13,0.811,1,2.1,0.08
"S22","Ebbinghaus",14,1.195,0,0.7,0.32
"S22","Ebbinghaus",16,2.487,1,0.7,0.08
"S22","Ebbinghaus",21,0.964,0,1.4,0.56
"S22","Ebbinghaus",22,1.304,0,1.4,0.32
"S22","Ebbinghaus",23,1.11,0,0.7,0.32
"S22","Ebbinghaus",30,1.598,0,2.1,0.56
"S22","Ebbinghaus",31,1.473,0,1.4,0.8
"S22","Ebbinghaus",32,0.942,1,2.1,0.08
"S22","Ebbinghaus",33,1.542,0,2.1,0.56
"S22","Ebbinghaus",38,0.677,0,0.7,0.56
"S22","Ebbinghaus",44,1.134,0,2.1,0.32
"S22","Ebbinghaus",45,1.939,0,1.4,0.32
"S22","Ebbinghaus",48,0.759,0,0.7,0.56
"S22","Ebbinghaus",50,0.786,0,1.4,0.8
"S22","Ebbinghaus",52,0.904,0,0.7,0.8
"S22","Ebbinghaus",53,0.876,0,1.4,0.56
"S22","Ebbinghaus",55,1.161,0,2.1,0.8
"S22","Ebbinghaus",56,4.338,1,2.1,0.32
"S22","Vertical-Horizontal",3,0.701,0,30,0.21
"S22","Vertical-Horizontal",10,1.644,0,30,0.12
"S22","Vertical-Horizontal",11,0.626,0,60,0.3
"S22","Vertical-Horizontal",14,1.18,0,30,0.3
"S22","Vertical-Horizontal",17,0.813,0,60,0.21
"S22","Vertical-Horizontal",18,1.474,1,90,0.03
"S22","Vertical-Horizontal",21,1.529,0,60,0.21
"S22","Vertical-Horizontal",22,2.235,0,30,0.03
"S22","Vertical-Horizontal",24,1.025,1,90,0.12
"S22","Vertical-Horizontal",25,2.153,1,90,0.03
"S22","Vertical-Horizontal",27,0.744,1,60,0.03
"S22","Vertical-Horizontal",30,1.456,0,60,0.12
"S22","Vertical-Horizontal",31,0.963,0,30,0.21
"S22","Vertical-Horizontal",36,1.064,0,90,0.3
"S22","Vertical-Horizontal",37,0.883,0,90,0.21
"S22","Vertical-Horizontal",40,2.205,0,60,0.12
"S22","Vertical-Horizontal",42,1.425,0,30,0.12
"S22","Vertical-Horizontal",45,1.456,0,90,0.3
"S22","Vertical-Horizontal",46,1.84,0,90,0.12
"S22","Vertical-Horizontal",48,1.355,1,30,0.03
"S22","Vertical-Horizontal",49,1.961,0,90,0.21
"S22","Vertical-Horizontal",52,1.993,0,60,0.03
"S22","Vertical-Horizontal",53,0.927,0,30,0.3
"S22","Vertical-Horizontal",54,0.85,0,60,0.3
"S22","Delboeuf",1,1.521,0,0.7,0.32
"S22","Delboeuf",4,1.692,0,1.4,0.8
"S22","Delboeuf",7,1.222,0,0.7,0.8
"S22","Delboeuf",8,1.438,0,1.4,0.56
"S22","Delboeuf",9,1.618,0,2.1,0.56
"S22","Delboeuf",10,1.666,0,0.7,0.32
"S22","Delboeuf",12,0.949,1,2.1,0.08
"S22","Delboeuf",13,0.722,0,0.7,0.56
"S22","Delboeuf",17,1.066,0,1.4,0.56
"S22","Delboeuf",19,1.994,1,1.4,0.32
"S22","Delboeuf",20,0.835,0,0.7,0.56
"S22","Delboeuf",24,0.993,0,2.1,0.8
"S22","Delboeuf",26,1.475,1,2.1,0.08
"S22","Delboeuf",29,0.952,0,1.4,0.8
"S22","Delboeuf",31,1.351,1,1.4,0.08
"S22","Delboeuf",32,1.24,1,1.4,0.32
"S22","Delboeuf",34,1.763,1,2.1,0.32
"S22","Delboeuf",38,1.551,0,2.1,0.32
"S22","Delboeuf",39,1.002,1,0.7,0.08
"S22","Delboeuf",40,0.75,0,2.1,0.56
"S22","Delboeuf",42,1.355,1,1.4,0.08
"S22","Delboeuf",49,0.738,0,0.7,0.8
"S22","Delboeuf",50,1.139,0,0.7,0.08
"S22","Delboeuf",53,0.895,0,2.1,0.8
"S23","Ponzo",2,1,0,16.6666666666667,0.4
"S23","Ponzo",4,0.878,0,8.33333333333334,0.28
"S23","Ponzo",5,1.077,1,16.6666666666667,0.04
"S23","Ponzo",6,1.26,0,8.33333333333334,0.16
"S23","Ponzo",10,0.826,0,8.33333333333334,0.4
"S23","Ponzo",11,2.124,1,25,0.16
"S23","Ponzo",14,0.746,1,8.33333333333334,0.04
"S23","Ponzo",22,0.571,0,8.33333333333334,0.4
"S23","Ponzo",24,0.52,1,25,0.28
"S23","Ponzo",25,0.553,1,25,0.04
"S23","Ponzo",26,1.196,0,16.6666666666667,0.16
"S23","Ponzo",29,0.533,1,8.33333333333334,0.04
"S23","Ponzo",31,0.73,0,16.6666666666667,0.28
"S23","Ponzo",34,0.931,1,25,0.16
"S23","Ponzo",36,1.152,0,25,0.4
"S23","Ponzo",37,1.323,0,8.33333333333334,0.16
"S23","Ponzo",40,2.959,0,25,0.4
"S23","Ponzo",42,1.31,0,16.6666666666667,0.16
"S23","Ponzo",43,1.007,0,16.6666666666667,0.4
"S23","Ponzo",50,0.803,1,16.6666666666667,0.04
"S23","Ponzo",51,0.638,0,8.33333333333334,0.28
"S23","Ponzo",53,1.429,1,25,0.28
"S23","Ponzo",54,1.051,0,16.6666666666667,0.28
"S23","Ponzo",56,0.685,1,25,0.04
"S23","Vertical-Horizontal",4,0.789,0,30,0.3
"S23","Vertical-Horizontal",5,1.205,1,60,0.12
"S23","Vertical-Horizontal",8,1.256,0,90,0.21
"S23","Vertical-Horizontal",15,1.589,1,30,0.03
"S23","Vertical-Horizontal",17,1.176,0,30,0.3
"S23","Vertical-Horizontal",18,0.896,0,30,0.21
"S23","Vertical-Horizontal",19,0.845,0,30,0.21
"S23","Vertical-Horizontal",22,1.073,0,90,0.3
"S23","Vertical-Horizontal",24,1.433,0,30,0.12
"S23","Vertical-Horizontal",29,1.017,0,90,0.21
"S23","Vertical-Horizontal",30,1.117,1,30,0.03
"S23","Vertical-Horizontal",33,1.397,0,60,0.21
"S23","Vertical-Horizontal",34,1.131,1,90,0.03
"S23","Vertical-Horizontal",35,0.991,0,60,0.12
"S23","Vertical-Horizontal",36,0.724,1,60,0.03
"S23","Vertical-Horizontal",37,0.8,0,90,0.3
"S23","Vertical-Horizontal",39,1.224,1,90,0.03
"S23","Vertical-Horizontal",44,0.631,0,60,0.3
"S23","Vertical-Horizontal",51,1.021,0,90,0.12
"S23","Vertical-Horizontal",52,1.028,1,60,0.03
"S23","Vertical-Horizontal",53,0.97,1,90,0.12
"S23","Vertical-Horizontal",54,0.562,1,30,0.12
"S23","Vertical-Horizontal",55,1.013,0,60,0.3
"S23","Vertical-Horizontal",56,0.962,0,60,0.21
"S23","Delboeuf",3,1.875,0,0.7,0.32
"S23","Delboeuf",6,1.33,0,1.4,0.56
"S23","Delboeuf",7,1.922,1,2.1,0.08
"S23","Delboeuf",8,1.501,0,0.7,0.8
"S23","Delboeuf",9,0.924,0,0.7,0.8
"S23","Delboeuf",10,0.701,0,1.4,0.8
"S23","Delboeuf",11,1.684,1,0.7,0.08
"S23","Delboeuf",12,1.333,0,0.7,0.56
"S23","Delboeuf",14,1.087,1,2.1,0.08
"S23","Delboeuf",19,0.922,1,1.4,0.32
"S23","Delboeuf",24,1.113,0,2.1,0.56
"S23","Delboeuf",28,1.572,0,1.4,0.8
"S23","Delboeuf",29,1.533,1,1.4,0.08
"S23","Delboeuf",34,1.47,1,0.7,0.56
"S23","Delboeuf",35,1.038,1,1.4,0.56
"S23","Delboeuf",36,0.859,1,2.1,0.32
"S23","Delboeuf",42,0.691,1,2.1,0.32
"S23","Delboeuf",43,0.761,1,2.1,0.8
"S23","Delboeuf",46,0.832,0,0.7,0.32
"S23","Delboeuf",48,1.93,1,0.7,0.08
"S23","Delboeuf",51,1.307,1,1.4,0.32
"S23","Delboeuf",53,0.645,1,2.1,0.56
"S23","Delboeuf",54,1.122,1,2.1,0.8
"S23","Delboeuf",55,0.723,1,1.4,0.08
"S23","Müller-Lyer",1,2.432,0,50,0.2
"S23","Müller-Lyer",3,0.909,0,16.6666666666667,0.35
"S23","Müller-Lyer",6,1.978,0,33.3333333333333,0.2
"S23","Müller-Lyer",11,0.47,1,33.3333333333333,0.05
"S23","Müller-Lyer",13,0.793,0,33.3333333333333,0.5
"S23","Müller-Lyer",14,0.627,1,16.6666666666667,0.05
"S23","Müller-Lyer",17,0.89,0,16.6666666666667,0.2
"S23","Müller-Lyer",18,0.643,1,50,0.2
"S23","Müller-Lyer",19,1.106,0,50,0.5
"S23","Müller-Lyer",25,0.58,1,33.3333333333333,0.05
"S23","Müller-Lyer",26,0.797,0,33.3333333333333,0.35
"S23","Müller-Lyer",29,0.639,0,16.6666666666667,0.2
"S23","Müller-Lyer",30,0.923,1,50,0.05
"S23","Müller-Lyer",32,0.549,0,16.6666666666667,0.5
"S23","Müller-Lyer",33,0.754,0,50,0.5
"S23","Müller-Lyer",35,2.003,0,16.6666666666667,0.05
"S23","Müller-Lyer",37,0.53,0,16.6666666666667,0.35
"S23","Müller-Lyer",39,0.505,1,50,0.05
"S23","Müller-Lyer",40,0.843,1,33.3333333333333,0.2
"S23","Müller-Lyer",41,0.962,0,33.3333333333333,0.35
"S23","Müller-Lyer",45,1.054,0,33.3333333333333,0.5
"S23","Müller-Lyer",46,0.752,0,16.6666666666667,0.5
"S23","Müller-Lyer",50,1.073,0,50,0.35
"S23","Müller-Lyer",55,0.88,0,50,0.35
"S23","Ebbinghaus",1,1.866,0,0.7,0.08
"S23","Ebbinghaus",3,1.217,0,1.4,0.56
"S23","Ebbinghaus",7,0.652,0,0.7,0.56
"S23","Ebbinghaus",12,0.642,1,2.1,0.08
"S23","Ebbinghaus",13,0.604,0,0.7,0.56
"S23","Ebbinghaus",15,0.58,0,1.4,0.56
"S23","Ebbinghaus",18,2.323,0,1.4,0.32
"S23","Ebbinghaus",19,0.745,0,0.7,0.32
"S23","Ebbinghaus",21,0.537,1,1.4,0.08
"S23","Ebbinghaus",23,0.525,0,2.1,0.56
"S23","Ebbinghaus",24,0.578,1,2.1,0.08
"S23","Ebbinghaus",25,0.49,0,1.4,0.8
"S23","Ebbinghaus",27,0.567,0,0.7,0.8
"S23","Ebbinghaus",30,1.135,0,2.1,0.56
"S23","Ebbinghaus",31,0.945,0,0.7,0.32
"S23","Ebbinghaus",32,0.958,1,0.7,0.08
"S23","Ebbinghaus",33,0.67,0,1.4,0.32
"S23","Ebbinghaus",40,0.783,0,2.1,0.8
"S23","Ebbinghaus",43,1.727,0,2.1,0.32
"S23","Ebbinghaus",46,0.592,1,1.4,0.08
"S23","Ebbinghaus",51,0.47,0,0.7,0.8
"S23","Ebbinghaus",53,0.431,0,2.1,0.8
"S23","Ebbinghaus",55,0.808,1,2.1,0.32
"S23","Ebbinghaus",56,0.752,0,1.4,0.8
"S23","Ebbinghaus",1,1.064,0,1.4,0.32
"S23","Ebbinghaus",2,0.511,0,0.7,0.56
"S23","Ebbinghaus",5,0.47,0,2.1,0.32
"S23","Ebbinghaus",6,0.902,0,1.4,0.56
"S23","Ebbinghaus",7,0.492,0,2.1,0.8
"S23","Ebbinghaus",8,1.12,1,0.7,0.08
"S23","Ebbinghaus",10,0.47,0,0.7,0.8
"S23","Ebbinghaus",12,0.545,1,2.1,0.08
"S23","Ebbinghaus",14,0.602,0,0.7,0.32
"S23","Ebbinghaus",15,0.406,0,0.7,0.8
"S23","Ebbinghaus",17,0.595,1,1.4,0.08
"S23","Ebbinghaus",18,0.64,0,1.4,0.8
"S23","Ebbinghaus",19,0.551,1,1.4,0.08
"S23","Ebbinghaus",23,0.819,1,2.1,0.32
"S23","Ebbinghaus",24,1.014,0,2.1,0.8
"S23","Ebbinghaus",25,0.74,1,2.1,0.08
"S23","Ebbinghaus",28,0.991,0,2.1,0.56
"S23","Ebbinghaus",29,0.927,1,1.4,0.32
"S23","Ebbinghaus",33,0.746,1,2.1,0.56
"S23","Ebbinghaus",34,0.557,1,0.7,0.08
"S23","Ebbinghaus",37,0.501,0,1.4,0.8
"S23","Ebbinghaus",41,0.846,0,0.7,0.32
"S23","Ebbinghaus",42,0.74,0,1.4,0.56
"S23","Ebbinghaus",48,0.592,0,0.7,0.56
"S23","Ponzo",1,0.61,1,25,0.16
"S23","Ponzo",3,0.764,1,8.33333333333334,0.04
"S23","Ponzo",7,0.663,0,16.6666666666667,0.28
"S23","Ponzo",8,0.821,1,16.6666666666667,0.04
"S23","Ponzo",9,0.914,0,25,0.4
"S23","Ponzo",12,0.563,0,8.33333333333334,0.4
"S23","Ponzo",16,1.172,1,8.33333333333334,0.16
"S23","Ponzo",18,0.483,1,16.6666666666667,0.04
"S23","Ponzo",19,0.942,0,16.6666666666667,0.28
"S23","Ponzo",20,0.529,0,8.33333333333334,0.28
"S23","Ponzo",22,0.727,1,25,0.04
"S23","Ponzo",26,0.703,0,8.33333333333334,0.16
"S23","Ponzo",31,0.591,0,16.6666666666667,0.4
"S23","Ponzo",32,0.455,1,25,0.04
"S23","Ponzo",33,0.684,0,16.6666666666667,0.4
"S23","Ponzo",38,0.733,0,8.33333333333334,0.28
"S23","Ponzo",39,0.623,1,25,0.16
"S23","Ponzo",40,1.216,1,16.6666666666667,0.16
"S23","Ponzo",41,1.007,0,16.6666666666667,0.16
"S23","Ponzo",42,0.506,1,25,0.28
"S23","Ponzo",45,0.545,0,8.33333333333334,0.4
"S23","Ponzo",47,0.473,1,25,0.4
"S23","Ponzo",49,1.499,1,8.33333333333334,0.04
"S23","Ponzo",54,0.959,1,25,0.28
"S23","Müller-Lyer",3,0.615,1,50,0.05
"S23","Müller-Lyer",6,1.402,0,33.3333333333333,0.2
"S23","Müller-Lyer",8,0.986,0,50,0.35
"S23","Müller-Lyer",9,1.48,1,16.6666666666667,0.05
"S23","Müller-Lyer",10,0.937,0,33.3333333333333,0.35
"S23","Müller-Lyer",14,0.61,0,16.6666666666667,0.35
"S23","Müller-Lyer",15,1.339,0,50,0.35
"S23","Müller-Lyer",16,0.864,0,50,0.5
"S23","Müller-Lyer",18,1.653,0,50,0.2
"S23","Müller-Lyer",20,0.965,1,16.6666666666667,0.05
"S23","Müller-Lyer",21,0.975,0,33.3333333333333,0.5
"S23","Müller-Lyer",24,0.698,0,16.6666666666667,0.5
"S23","Müller-Lyer",31,0.603,0,16.6666666666667,0.5
"S23","Müller-Lyer",37,0.686,0,50,0.5
"S23","Müller-Lyer",40,1.166,0,16.6666666666667,0.2
"S23","Müller-Lyer",41,0.847,1,50,0.2
"S23","Müller-Lyer",43,1.137,1,50,0.05
"S23","Müller-Lyer",46,0.864,1,33.3333333333333,0.05
"S23","Müller-Lyer",47,0.955,0,33.3333333333333,0.35
"S23","Müller-Lyer",48,0.815,1,16.6666666666667,0.2
"S23","Müller-Lyer",50,1.61,1,33.3333333333333,0.05
"S23","Müller-Lyer",51,0.736,1,33.3333333333333,0.2
"S23","Müller-Lyer",53,1.82,0,16.6666666666667,0.35
"S23","Müller-Lyer",54,0.823,0,33.3333333333333,0.5
"S23","Delboeuf",6,2.12,0,1.4,0.56
"S23","Delboeuf",9,0.758,1,2.1,0.08
"S23","Delboeuf",11,1.459,0,1.4,0.32
"S23","Delboeuf",12,0.718,0,0.7,0.32
"S23","Delboeuf",13,0.847,0,0.7,0.8
"S23","Delboeuf",15,1.253,1,0.7,0.32
"S23","Delboeuf",16,0.585,1,2.1,0.08
"S23","Delboeuf",17,1.21,1,2.1,0.56
"S23","Delboeuf",18,0.711,0,1.4,0.08
"S23","Delboeuf",19,0.908,1,2.1,0.56
"S23","Delboeuf",20,0.844,1,0.7,0.08
"S23","Delboeuf",24,1.612,0,0.7,0.08
"S23","Delboeuf",25,0.992,0,0.7,0.56
"S23","Delboeuf",27,1.065,1,1.4,0.08
"S23","Delboeuf",30,2.23,0,2.1,0.32
"S23","Delboeuf",31,1.376,0,2.1,0.8
"S23","Delboeuf",35,1.253,0,2.1,0.8
"S23","Delboeuf",40,2.084,1,2.1,0.32
"S23","Delboeuf",43,2.005,0,0.7,0.8
"S23","Delboeuf",46,0.963,1,1.4,0.32
"S23","Delboeuf",50,3.631,0,0.7,0.56
"S23","Delboeuf",51,1.04,0,1.4,0.8
"S23","Delboeuf",52,1.326,0,1.4,0.56
"S23","Delboeuf",56,1.146,0,1.4,0.8
"S23","Vertical-Horizontal",2,1.203,1,90,0.03
"S23","Vertical-Horizontal",4,0.9,1,90,0.03
"S23","Vertical-Horizontal",10,0.825,0,30,0.21
"S23","Vertical-Horizontal",13,0.789,1,60,0.3
"S23","Vertical-Horizontal",14,0.521,1,60,0.21
"S23","Vertical-Horizontal",19,0.703,1,60,0.12
"S23","Vertical-Horizontal",21,0.739,0,90,0.21
"S23","Vertical-Horizontal",22,0.674,0,30,0.3
"S23","Vertical-Horizontal",23,0.828,0,90,0.3
"S23","Vertical-Horizontal",24,0.853,1,30,0.12
"S23","Vertical-Horizontal",28,0.77,1,90,0.12
"S23","Vertical-Horizontal",32,0.975,0,30,0.12
"S23","Vertical-Horizontal",34,0.603,0,90,0.3
"S23","Vertical-Horizontal",35,0.905,1,60,0.03
"S23","Vertical-Horizontal",38,0.619,1,30,0.03
"S23","Vertical-Horizontal",39,0.581,0,30,0.3
"S23","Vertical-Horizontal",42,0.729,0,60,0.3
"S23","Vertical-Horizontal",44,1.106,0,60,0.21
"S23","Vertical-Horizontal",46,0.681,1,30,0.03
"S23","Vertical-Horizontal",47,0.79,1,60,0.03
"S23","Vertical-Horizontal",48,0.81,0,90,0.21
"S23","Vertical-Horizontal",51,0.965,0,30,0.21
"S23","Vertical-Horizontal",52,1.463,0,60,0.12
"S23","Vertical-Horizontal",55,1.261,1,90,0.12
"S24","Müller-Lyer",1,1.407,0,50,0.2
"S24","Müller-Lyer",5,0.873,0,50,0.35
"S24","Müller-Lyer",10,0.663,0,33.3333333333333,0.5
"S24","Müller-Lyer",14,0.538,1,16.6666666666667,0.2
"S24","Müller-Lyer",15,0.624,0,50,0.5
"S24","Müller-Lyer",17,0.639,0,16.6666666666667,0.35
"S24","Müller-Lyer",18,0.786,0,50,0.2
"S24","Müller-Lyer",21,0.532,0,16.6666666666667,0.5
"S24","Müller-Lyer",22,0.805,0,16.6666666666667,0.2
"S24","Müller-Lyer",26,0.608,0,33.3333333333333,0.35
"S24","Müller-Lyer",28,0.519,1,16.6666666666667,0.05
"S24","Müller-Lyer",29,0.508,1,33.3333333333333,0.05
"S24","Müller-Lyer",34,0.529,1,16.6666666666667,0.5
"S24","Müller-Lyer",37,0.507,1,50,0.35
"S24","Müller-Lyer",39,0.532,1,33.3333333333333,0.05
"S24","Müller-Lyer",40,0.526,1,50,0.05
"S24","Müller-Lyer",41,0.558,1,33.3333333333333,0.35
"S24","Müller-Lyer",43,0.724,0,33.3333333333333,0.2
"S24","Müller-Lyer",44,0.855,0,50,0.5
"S24","Müller-Lyer",49,0.52,1,50,0.05
"S24","Müller-Lyer",52,0.665,1,33.3333333333333,0.2
"S24","Müller-Lyer",53,0.834,0,16.6666666666667,0.35
"S24","Müller-Lyer",54,0.578,1,16.6666666666667,0.05
"S24","Müller-Lyer",55,0.709,0,33.3333333333333,0.5
"S24","Ponzo",2,1.382,0,25,0.16
"S24","Ponzo",7,0.817,1,25,0.04
"S24","Ponzo",8,0.809,0,8.33333333333334,0.04
"S24","Ponzo",10,0.884,0,25,0.28
"S24","Ponzo",11,0.862,0,25,0.4
"S24","Ponzo",12,1.062,1,16.6666666666667,0.04
"S24","Ponzo",13,0.815,1,25,0.28
"S24","Ponzo",16,0.947,1,8.33333333333334,0.16
"S24","Ponzo",19,0.802,1,16.6666666666667,0.04
"S24","Ponzo",22,0.946,1,25,0.4
"S24","Ponzo",23,1.04,1,8.33333333333334,0.04
"S24","Ponzo",24,0.612,0,8.33333333333334,0.28
"S24","Ponzo",27,0.822,0,16.6666666666667,0.28
"S24","Ponzo",31,0.566,0,8.33333333333334,0.4
"S24","Ponzo",35,0.902,0,16.6666666666667,0.4
"S24","Ponzo",36,0.57,0,16.6666666666667,0.4
"S24","Ponzo",39,0.735,0,8.33333333333334,0.4
"S24","Ponzo",44,0.59,0,8.33333333333334,0.28
"S24","Ponzo",45,0.78,0,16.6666666666667,0.28
"S24","Ponzo",46,0.538,1,25,0.04
"S24","Ponzo",48,0.478,0,8.33333333333334,0.16
"S24","Ponzo",50,0.873,1,16.6666666666667,0.16
"S24","Ponzo",52,0.561,1,25,0.16
"S24","Ponzo",54,0.763,0,16.6666666666667,0.16
"S24","Vertical-Horizontal",3,0.955,0,90,0.3
"S24","Vertical-Horizontal",4,0.871,1,30,0.03
"S24","Vertical-Horizontal",5,0.777,0,60,0.21
"S24","Vertical-Horizontal",6,0.913,1,60,0.03
"S24","Vertical-Horizontal",7,0.832,1,30,0.03
"S24","Vertical-Horizontal",10,1.166,0,30,0.3
"S24","Vertical-Horizontal",13,0.583,0,30,0.3
"S24","Vertical-Horizontal",15,0.463,1,30,0.21
"S24","Vertical-Horizontal",16,0.481,1,30,0.12
"S24","Vertical-Horizontal",21,0.498,1,60,0.03
"S24","Vertical-Horizontal",23,0.898,0,60,0.21
"S24","Vertical-Horizontal",25,0.608,1,90,0.03
"S24","Vertical-Horizontal",26,1.038,0,90,0.21
"S24","Vertical-Horizontal",28,0.841,0,60,0.3
"S24","Vertical-Horizontal",31,0.735,0,30,0.21
"S24","Vertical-Horizontal",35,1.268,0,60,0.12
"S24","Vertical-Horizontal",39,0.496,1,90,0.12
"S24","Vertical-Horizontal",42,1.109,0,90,0.21
"S24","Vertical-Horizontal",43,0.643,0,60,0.3
"S24","Vertical-Horizontal",50,0.509,1,60,0.12
"S24","Vertical-Horizontal",53,1.139,0,30,0.12
"S24","Vertical-Horizontal",54,0.766,1,90,0.12
"S24","Vertical-Horizontal",55,0.86,1,90,0.03
"S24","Vertical-Horizontal",56,0.76,0,90,0.3
"S24","Ebbinghaus",2,0.532,0,1.4,0.8
"S24","Ebbinghaus",8,0.655,0,1.4,0.32
"S24","Ebbinghaus",9,0.503,0,2.1,0.8
"S24","Ebbinghaus",10,0.912,0,2.1,0.32
"S24","Ebbinghaus",13,0.985,0,2.1,0.56
"S24","Ebbinghaus",15,0.864,0,1.4,0.56
